time_us,speed_ms,acceleration,yaw,steer_angle,throttle_status,break_status,auto_state
1569494649892183,4.55682,0.00109863,2.76212,-0.244346,0,0,0
1569494649912170,4.54889,-0.00732422,2.76193,-0.261799,0,0,0
1569494649932161,4.5438,-0.0197754,2.76174,-0.261799,0,0,0
1569494649952559,4.54264,-0.0135498,2.76155,-0.261799,0,0,0
1569494649972644,4.53471,-0.0135498,2.76136,-0.279253,0,0,0
1569494649992565,4.52451,-0.0065918,2.76116,-0.279253,0,0,0
1569494650012192,4.51771,-0.0179443,2.76097,-0.296706,0,0,0
1569494650032139,4.50355,-0.0117188,2.76078,-0.296706,0,0,0
1569494650052173,4.49618,-0.0175781,2.76059,-0.314159,0,0,0
1569494650092107,4.47464,-0.0109863,2.76001,-0.331613,0,0,0
1569494650112195,4.46727,-0.0201416,2.75982,-0.331613,0,0,0
1569494650132351,4.46331,0.00622559,2.75944,-0.349066,0,0,0
1569494650152370,4.45991,-0.00732422,2.75924,-0.349066,0,0,0
1569494650172319,4.45594,-0.00549316,2.75886,-0.366519,0,0,0
1569494650192301,4.45539,-0.00878906,2.75848,-0.383972,0,0,0
1569494650212605,4.44576,-0.00695801,2.75809,-0.383972,0,0,0
1569494650232623,4.43841,-0.0135498,2.7579,-0.401426,0,0,0
1569494650252807,4.42649,-0.0168457,2.75752,-0.418879,0,0,0
1569494650273053,4.42825,-0.00695801,2.75694,-0.418879,0,0,0
1569494650282199,4.42145,-0.0197754,2.75656,-0.436332,0,0,0
1569494650312444,4.41182,0.0032959,2.75617,-0.453786,0,0,0
1569494650332098,4.40387,-0.00805664,2.75579,-0.471239,0,0,0
1569494650352301,4.39592,-0.00769043,2.7554,-0.488692,0,0,0
1569494650372091,4.38346,-0.0106201,2.75483,-0.488692,0,0,0
1569494650392083,4.37665,-0.0168457,2.75444,-0.506145,0,0,0
1569494650412067,4.3688,-0.0131836,2.75387,-0.506145,0,0,0
1569494650432126,4.36482,-0.0065918,2.75329,-0.523599,0,0,0
1569494650452274,4.35237,-0.00549316,2.75272,-0.523599,0,0,0
1569494650472291,4.37445,-0.013916,2.75233,-0.523599,0,0,0
1569494650491803,4.36598,-0.00292969,2.75176,-0.541052,0,0,0
1569494650512464,4.34904,-0.00366211,2.75118,-0.541052,0,0,0
1569494650532740,4.33941,-0.0164795,2.7506,-0.541052,0,0,0
1569494650552810,4.33094,-0.0157471,2.74984,-0.541052,0,0,0
1569494650592530,4.31567,-0.00805664,2.7487,-0.558505,0,0,0
1569494650612424,4.31073,-0.0285645,2.74813,-0.558505,0,0,0
1569494650632059,4.3011,-0.00622559,2.74755,-0.558505,0,0,0
1569494650652228,4.28866,-0.0153809,2.74697,-0.558505,0,0,0
1569494650672386,4.28584,-0.0150146,2.7464,-0.575959,0,0,0
1569494650692165,4.27857,-0.0172119,2.74582,-0.575959,0,0,0
1569494650712024,4.27059,-0.0172119,2.74525,-0.575959,0,0,0
1569494650732214,4.25651,-0.0124512,2.74448,-0.575959,0,0,0
1569494650752114,4.25089,-0.0098877,2.7439,-0.575959,0,0,0
1569494650772048,4.24245,-0.00476074,2.74333,-0.575959,0,0,0
1569494650792037,4.24082,-0.00805664,2.74275,-0.575959,0,0,0
1569494650812124,4.23446,-0.0219727,2.74217,-0.575959,0,0,0
1569494650832212,4.22839,-0.00476074,2.7416,-0.575959,0,0,0
1569494650852337,4.21996,-0.0153809,2.74083,-0.575959,0,0,0
1569494650872509,4.22677,0.0032959,2.74025,-0.575959,0,0,0
1569494650892740,4.21315,-0.0153809,2.73968,-0.593412,0,0,0
1569494650912434,4.21034,-0.0135498,2.73891,-0.593412,0,0,0
1569494650932603,4.20192,0.00183105,2.73814,-0.593412,0,0,0
1569494650952368,4.19672,-0.00146484,2.73757,-0.593412,0,0,0
1569494650972233,4.18668,-0.0183105,2.7368,-0.593412,0,0,0
1569494650991902,4.17946,-0.0124512,2.73622,-0.593412,0,0,0
1569494651012372,4.16824,-0.0142822,2.73545,-0.593412,0,0,0
1569494651032110,4.15863,-0.0128174,2.73488,-0.593412,0,0,0
1569494651052375,4.15786,-0.00109863,2.73432,-0.593412,0,0,0
1569494651072386,4.16467,-0.0168457,2.73355,-0.593412,0,0,0
1569494651112000,4.14703,-0.0150146,2.7324,-0.593412,0,0,0
1569494651131833,4.13341,-0.0098877,2.73163,-0.593412,0,0,0
1569494651151977,4.13182,-0.0205078,2.73106,-0.593412,0,0,0
1569494651172016,4.12501,-0.0131836,2.73048,-0.593412,0,0,0
1569494651192634,4.12184,-0.00952148,2.72971,-0.593412,0,0,0
1569494651212415,4.12027,-0.0164795,2.72914,-0.593412,0,0,0
1569494651232507,4.11747,-0.00512695,2.72856,-0.593412,0,0,0
1569494651252416,4.10786,-0.0274658,2.72798,-0.593412,0,0,0
1569494651272554,4.10752,-0.0168457,2.72722,-0.593412,0,0,0
1569494651292181,4.09791,-0.0186768,2.72664,-0.593412,0,0,0
1569494651311954,4.08987,-0.00769043,2.72606,-0.593412,0,0,0
1569494651332058,4.08428,-0.0102539,2.7253,-0.593412,0,0,0
1569494651351949,4.08272,-0.0098877,2.72472,-0.593412,0,0,0
1569494651371954,4.06909,-0.00952148,2.72395,-0.593412,0,0,0
1569494651392645,4.06195,-0.0172119,2.72338,-0.593412,0,0,0
1569494651412074,4.05079,-0.00219727,2.72261,-0.593412,0,0,0
1569494651431999,4.04521,-0.00622559,2.72184,-0.593412,0,0,0
1569494651451903,4.03531,-0.0106201,2.72127,-0.593412,0,0,0
1569494651471921,4.04367,-0.0172119,2.72051,-0.593412,0,0,0
1569494651491935,4.03655,-0.0128174,2.71994,-0.593412,0,0,0
1569494651512159,4.02667,-0.00878906,2.71917,-0.593412,0,0,0
1569494651532730,4.02111,-0.00695801,2.71859,-0.593412,0,0,0
1569494651552544,4.01303,-0.0102539,2.71783,-0.593412,0,0,0
1569494651572672,4.00775,-0.0128174,2.71725,-0.593412,0,0,0
1569494651592502,4.00343,-0.0175781,2.71667,-0.575959,0,0,0
1569494651632199,3.99331,-0.0098877,2.71533,-0.575959,0,0,0
1569494651652115,3.98119,-0.0102539,2.71475,-0.575959,0,0,0
1569494651672000,3.97665,-0.0131836,2.71399,-0.575959,0,0,0
1569494651692072,3.96983,-0.0142822,2.71341,-0.558505,0,0,0
